0.0,48.60296786018678,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.01,48.60297235629551,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.02,48.60297685240425,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.03,48.60298134851298,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.04,48.602985844621706,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.05,48.60299034073043,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.06,48.602994836839144,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.07,48.60299933294786,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.08,48.603003829056576,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.09,48.603008325165284,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.1,48.603012821273985,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.11,48.603017317382694,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.12,48.60302181349139,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.13,48.60302630960008,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.14,48.60303080570878,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.15,48.603035301817464,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.16,48.603039797926144,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.17,48.60304429403483,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.18,48.603048790143504,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.19,48.60305328625218,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.2,48.60305778236085,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.21,48.603062278469515,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.22,48.60306677457818,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.23,48.60307127068683,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.24,48.6030757667955,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.25,48.60308026290415,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.26,48.603084759012795,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.27,48.603089255121446,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.28,48.603093751230084,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.29,48.60309824733872,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.3,48.60310274344735,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.31,48.60310723955599,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.32,48.60311173566462,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.33,48.603116231773235,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.34,48.60312072788186,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.35,48.603125223990475,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.36,48.60312972009909,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.37,48.6031342162077,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.38,48.60313871231631,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.39,48.60314320842491,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.4,48.60314770453351,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.41,48.60315220064211,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
0.42,48.6031566967507,37.98229378021439,300.0,50.0,0.0,0.0,-0.0,0.0,-0.0
